idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
956,-94.41521,31.14967,0.0,0.0,0.48249,0.41968,0.59942,0.67294,0.15456,0.0,0.58669,0.45586,0.48046,0.49957,0.46436,0.46702
1036,-94.41479,31.15686,0.0,0.89175,0.61187,0.41968,0.59942,0.67294,0.15456,0.0,0.58669,0.45586,0.92504,0.94877,0.61745,0.61816
1070,-94.79235,31.17984,0.43155,0.0,0.0,0.93922,0.0,0.22171,0.82518,0.88075,0.81997,0.67931,0.87004,0.39103,0.50926,0.51321
1071,-94.78394,31.1795,0.43155,0.91954,0.75658,0.93922,0.0,0.22171,0.82518,0.88075,0.81997,0.67931,0.87004,0.61274,0.68389,0.70004
1072,-94.77554,31.17916,0.21129,0.0,0.83473,0.07265,0.0,0.81331,0.75224,0.52359,0.51375,0.38292,0.82113,0.80637,0.57007,0.5857
1073,-94.76714,31.17882,0.21129,0.84023,0.48915,0.07265,0.0,0.81331,0.75224,0.52359,0.51375,0.38292,0.81737,0.99074,0.65564,0.69222
1150,-94.78355,31.18669,0.43155,0.88046,0.0,0.93922,0.0,0.22171,0.82518,0.88075,0.81997,0.67931,0.87004,0.69754,0.59062,0.60559
1151,-94.77515,31.18635,0.21129,0.0,0.57135,0.07265,0.0,0.81331,0.75224,0.52359,0.51375,0.38292,0.87004,0.98148,0.55068,0.56494
1605,-94.77276,31.22951,0.43155,0.0,0.63647,0.93922,0.0,0.22171,0.82518,0.88075,0.81997,0.67931,0.89667,0.90825,0.66515,0.67319
1675,-94.77237,31.2367,0.43155,0.0,0.63386,0.93922,0.0,0.22171,0.82518,0.88075,0.81997,0.67931,0.89667,0.94385,0.66661,0.67439
1760,-94.64588,31.23873,0.94356,0.0,0.60955,0.51375,0.32185,0.29117,0.09783,0.23821,0.08915,0.12909,0.38929,0.72909,0.4113,0.41197
1831,-94.64547,31.24592,0.94356,0.96961,0.5288,0.51375,0.32185,0.29117,0.09783,0.23821,0.08915,0.12909,0.378,0.99161,0.48479,0.49797
1840,-94.56982,31.24276,0.54674,0.86946,0.5644,0.21042,0.37858,0.43097,0.0,0.10043,0.41592,0.28509,0.59942,0.95398,0.49187,0.50826
1890,-94.72073,31.25622,0.28423,0.86946,0.62981,0.58379,0.92648,0.1479,0.41968,0.50535,0.14588,0.98205,0.19074,0.9424,0.47213,0.44333
1908,-94.5694,31.24996,0.54674,0.86946,0.5644,0.21042,0.37858,0.43097,0.0,0.10043,0.41592,0.28509,0.59942,0.95398,0.49187,0.50826
1958,-94.71192,31.26307,0.28423,0.86946,0.62981,0.58379,0.92648,0.1479,0.41968,0.50535,0.14588,0.98205,0.19074,0.9424,0.47213,0.44333
2103,-94.57657,31.27188,0.94356,0.0,0.77656,0.51375,0.32185,0.29117,0.09783,0.23821,0.08915,0.12909,0.32301,0.7233,0.4291,0.42983
2148,-94.74435,31.28602,0.28423,0.0,0.0,0.58379,0.92648,0.1479,0.41968,0.50535,0.14588,0.98205,0.1042,0.78003,0.3949,0.37409
2149,-94.73594,31.28568,0.28423,0.0,0.62287,0.58379,0.92648,0.1479,0.41968,0.50535,0.14588,0.98205,0.1042,0.68075,0.46779,0.4477
2150,-94.72753,31.28533,0.28423,0.94616,0.97482,0.58379,0.92648,0.1479,0.41968,0.50535,0.14588,0.98205,0.05644,0.88567,0.4926,0.46457
2168,-94.57616,31.27907,0.54674,0.86946,0.59103,0.21042,0.37858,0.43097,0.0,0.10043,0.41592,0.28509,0.32185,0.78234,0.48366,0.49443
2186,-94.42481,31.27264,0.54674,0.85412,0.49986,0.21042,0.37858,0.43097,0.0,0.10043,0.41592,0.28509,0.28915,0.9068,0.41006,0.42026
2210,-94.75236,31.29355,0.50101,0.97164,0.53517,0.69638,0.47641,0.38524,0.55514,0.45962,0.21013,0.63357,0.10507,0.96382,0.52232,0.53224
2211,-94.74395,31.29321,0.28423,0.98263,0.48133,0.58379,0.92648,0.1479,0.41968,0.50535,0.14588,0.98205,0.10709,0.9042,0.53474,0.52756
2218,-94.68508,31.29081,0.74009,0.89175,0.56614,0.31925,0.78321,0.88625,0.69899,0.71114,0.36266,0.23184,0.33835,0.91925,0.55555,0.5494
2219,-94.67667,31.29046,0.74009,0.0,0.69812,0.31925,0.78321,0.88625,0.69899,0.71114,0.36266,0.23184,0.22171,0.89146,0.52368,0.51539
2249,-94.42439,31.27983,0.54674,0.85412,0.49986,0.21042,0.37858,0.43097,0.0,0.10043,0.41592,0.28509,0.28915,0.9068,0.41006,0.42026
2268,-94.80244,31.30278,0.50101,0.0,0.50912,0.69638,0.47641,0.38524,0.55514,0.45962,0.21013,0.63357,0.12562,0.95601,0.4283,0.41819
2269,-94.79402,31.30244,0.50101,0.86946,0.62489,0.69638,0.47641,0.38524,0.55514,0.45962,0.21013,0.63357,0.11751,0.94906,0.50564,0.50855
2277,-94.72673,31.29972,0.79334,0.95774,0.66425,0.45702,0.69986,0.3479,0.66165,0.59653,0.05181,0.5563,0.12735,0.85152,0.44423,0.43062
2328,-94.82728,31.31099,0.30246,0.0,0.0,0.56556,0.27004,0.04602,0.25499,0.29493,0.0,0.0,0.35774,0.87844,0.30601,0.30762
2336,-94.75998,31.30828,0.83068,0.94819,0.78958,0.7424,0.73719,0.0,0.37366,0.4136,0.16411,0.18582,0.1424,0.99913,0.41496,0.39582
2337,-94.75157,31.30794,0.83068,0.86946,0.68365,0.7424,0.73719,0.0,0.37366,0.4136,0.16411,0.18582,0.21418,0.93517,0.48904,0.48252
2338,-94.74315,31.3076,0.28423,0.98263,0.48133,0.58379,0.92648,0.1479,0.41968,0.50535,0.14588,0.98205,0.10709,0.9042,0.53474,0.52756
2340,-94.72633,31.30691,0.79334,0.0,0.0,0.45702,0.69986,0.3479,0.66165,0.59653,0.05181,0.5563,0.0932,0.50825,0.26861,0.24498
2342,-94.70951,31.30622,0.79334,0.85412,0.7152,0.45702,0.69986,0.3479,0.66165,0.59653,0.05181,0.5563,0.12793,0.99595,0.45012,0.43393
