Unnamed: 0,name,address,lat,lon
1,,100 PARKVIEW DR CLUTE TX 77531,29.02458,-95.40892
2,,105 S GORDON ALVIN TX 77511,29.42353,-95.24339
3,,121 N 10TH ST WEST COLUMBIA TX 77486,29.14403,-95.63257
4,,12216 BROADWAY PEARLAND TX 77584,29.55494,-95.4097
5,,1524 E MULBERRY ANGLETON TX 77515,29.17506,-95.4131
6,,1800 N BRAZOSPORT BLVD RICHWOOD TX 77531,29.03837,-95.40081
7,,1850 BROADWAY PEARLAND TX 77581,29.54657,-95.24194
8,,19025 FM 521 BONNEY TX 77583,29.31549,-95.44963
9,,205 W ASHLEY WILSON RD SWEENY TX 77480,29.04382,-95.71151
10,,2150 COUNTRYPLACE PKWY PEARLAND TX 77584,29.57182,-95.38449
11,,2217 N GRAND BLVD PEARLAND TX 77581,29.56672,-95.28346
12,,2715 SOUTHWYCK PKWY PEARLAND TX 77584,29.5499,-95.37584
13,,2803 BUSINESS CENTER DR #101 PEARLAND TX 77584,29.55952,-95.39142
14,,3017 YOST BLVD PEARLAND TX 77581,29.55144,-95.24331
15,,3210 FM 523 OYSTER CREEK TX 77541,29.00372,-95.32774
16,,333 HWY 332 EAST LAKE JACKSON TX 77566,29.03838,-95.45128
17,,3522 LIBERTY DR PEARLAND TX 77581,29.55181,-95.25795
18,,3633 CR 58 MANVEL TX 77578,29.51311,-95.39482
19,,4003 MERIDIANA PARKWAY IOWA COLONY TX 77583,29.43915,-95.42322
20,,410 BRAZOSPORT BLVD FREEPORT TX 77541,28.96432,-95.37253
21,,4141 BAILEY RD PEARLAND TX 77584,29.53206,-95.28779
22,,4283 FM 521 BRAZORIA TX 77422,29.00768,-95.60351
23,,"451 N VELASCO, ROOM 144 ANGLETON TX 77515",29.16801,-95.43288
24,,4805 BROADWAY PEARLAND TX 77581,29.56223,-95.29639
25,,6115 5TH ST DANBURY TX 77534,29.22408,-95.34882
26,,620 S BROOKS BRAZORIA TX 77422,29.04083,-95.56985
27,,7313 CORPORATE DR MANVEL TX 77578,29.47269,-95.37028
