idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
80,-96.82776,32.99911,0.18056,0.98343,0.45732,0.56197,0.78449,0.40291,0.70742,0.90728,0.75013,0.9847,0.91418,0.98256,0.75202,0.74647
84,-96.79348,32.99828,0.17431,0.0,0.7911,0.68361,0.0,0.38674,0.70285,0.86011,0.93944,0.67103,0.2111,0.71861,0.48988,0.49392
91,-96.73348,32.99681,0.61778,0.852,0.70563,0.96859,0.64722,0.55989,0.68204,0.39225,0.97242,0.99444,0.87872,0.78803,0.751,0.74351
97,-96.68205,32.99552,0.70227,0.0,0.70968,0.16214,0.66454,0.70765,0.12563,0.70302,0.78136,0.79139,0.05088,0.75274,0.4748,0.46531
110,-96.57064,32.99267,0.76989,0.92084,0.5122,0.47424,0.0,0.54158,0.38674,0.4725,0.02515,0.73246,0.73663,0.99901,0.50673,0.5364
139,-96.32212,32.98596,0.28,0.87408,0.50791,0.31512,0.0,0.75761,0.68998,0.06907,0.03297,0.45182,0.9978,0.92496,0.5603,0.59215
145,-96.82752,33.00631,0.18056,0.0,0.98638,0.56197,0.78449,0.40291,0.70742,0.90728,0.75013,0.9847,0.91418,0.91036,0.72551,0.70572
158,-96.71608,33.00358,0.66605,0.852,0.79446,0.63487,0.86695,0.90039,0.64594,0.8702,0.96123,0.96923,0.76479,0.98302,0.77882,0.78016
166,-96.64751,33.00185,0.56128,0.96228,0.78183,0.3208,0.91911,0.29478,0.09051,0.83456,0.46039,0.44614,0.33018,0.8651,0.53875,0.53353
209,-96.83584,33.01371,0.42452,0.0,0.9832,0.78339,0.91395,0.3963,0.75685,0.42429,0.48763,0.33355,0.8921,0.76549,0.66991,0.64585
235,-96.61296,33.00817,0.53323,0.0,0.0,0.69775,0.33117,0.21302,0.14875,0.89332,0.07249,0.48096,0.87205,0.48218,0.39148,0.39465
246,-96.51868,33.00572,0.82233,0.81903,0.63847,0.67903,0.85641,0.45912,0.82842,0.59014,0.6697,0.58863,0.51788,0.7955,0.60151,0.59141
