osm_id,code,fclass,name,point_x,point_y,lon,lat
356736612,2082,school,Hillsdale School (Historic),-98.0550290000,31.3084992000,-98.05503,31.3085
356742808,2082,school,Peabody School,-98.0703076000,31.3512757000,-98.07031,31.35128
356743655,2082,school,Purmela School,-97.9664174000,31.4746059000,-97.96642,31.47461
356745494,2082,school,Saint Paul School,-97.5255703000,31.2762826000,-97.52557,31.27628
356734918,2082,school,Gatesville State School for Boys,-97.7386333000,31.4684968000,-97.73863,31.4685
356738898,2082,school,Leon Junction School,-97.5827947000,31.3426689000,-97.58279,31.34267
356753968,2082,school,Copperas Cove High School,-97.9133565000,31.1260063000,-97.91336,31.12601
356753970,2082,school,Halstead School,-97.8953005000,31.1298952000,-97.8953,31.1299
356753972,2082,school,J L Williams Elementary School,-97.9103011000,31.1398947000,-97.9103,31.13989
356753974,2082,school,Loett Ledger Intermediate School,-97.9089121000,31.1412836000,-97.90891,31.14128
356753976,2082,school,Clarke Elementary School,-97.8083540000,31.1371180000,-97.80835,31.13712
356753978,2082,school,Duncan Elementary School,-97.8258585000,31.1440494000,-97.82586,31.14405
356753979,2082,school,Killeen ISD Early College High chool,-97.8070396000,31.1328684000,-97.80704,31.13287
356754027,2082,school,Clements Intermediate School,-97.8989116000,31.1210066000,-97.89891,31.12101
356754029,2082,school,Copperas Cove Junior High School,-97.8837713000,31.1161650000,-97.88377,31.11616
356754035,2082,school,Cove Christian School,-97.9088036000,31.0985967000,-97.9088,31.0986
356754047,2082,school,Fairview Elementary School,-97.9103008000,31.1185065000,-97.9103,31.11851
356754057,2082,school,Mae Stevens Elementary School,-97.8755776000,31.1160070000,-97.87558,31.11601
356754062,2082,school,Miss Jewel Elementary School,-97.9094675000,31.1198954000,-97.90947,31.1199
356754271,2082,school,Central Texas College,-97.8094648000,31.1198962000,-97.80946,31.1199
356797568,2082,school,C R Clements Intermediate School,-97.9005784000,31.1223954000,-97.90058,31.1224
356797573,2082,school,Cross Roads School,-97.9030784000,31.1232288000,-97.90308,31.12323
356797581,2082,school,Halstead Elementary School,-97.8978006000,31.1298952000,-97.8978,31.1299
356797585,2082,school,Lovett Ledger Intermediate School,-97.9128011000,31.1360059000,-97.9128,31.13601
792868194,2082,school,Montague Village Elementary,-97.8292487000,31.1130422000,-97.82925,31.11304
977172749,2082,school,Audie Murphy Middle School,-97.8349989000,31.1476987000,-97.835,31.1477
981650350,2082,school,Oveta Culp Hobby Elementary,-97.8306673000,31.1387669000,-97.83067,31.13877
4348527989,2501,supermarket,H-E-B Plus!,-97.8647993000,31.1186334000,-97.8648,31.11863
356708615,2082,school,Hurst Spring School,-97.6966891000,31.6668256000,-97.69669,31.66683
356742480,2082,school,Osage School,-97.5747405000,31.5190522000,-97.57474,31.51905
356852490,2005,post_office,Copperas Cove Stagestop and Post Office,-97.9286344000,31.1040625000,-97.92863,31.10406
6293746440,2002,fire_station,Station 2,-97.8316071000,31.1373271000,-97.83161,31.13733
6293746441,2002,fire_station,Station 1,-97.7753660000,31.1402176000,-97.77537,31.14022
6293746442,2001,police,Fort Hood Military Police Station,-97.7744772000,31.1400109000,-97.77448,31.14001
