name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,TX,31.9686,-99.90181,,,
,308 S Walnut ROANOKE TX 76262,32.99556,-97.22774,,,
,295 Trophy Club Dr TROPHY CLUB TX 76262,32.99685,-97.18723,,,
,1518 E. Frankford Road CARROLLTON TX 75007,32.99823,-96.90411,,,
,18110 Marsh Lane DALLAS TX 75287,32.99878,-96.85487,,,
,1200 Gerault Rd. FLOWER MOUND TX 75028,33.00165,-97.04405,,,
,3810 Timberglen Rd. DALLAS TX 75287,33.00477,-96.84942,,,
,249 E Round Grove Rd LEWISVILLE TX 75067,33.00485,-96.98711,,,
,3210 Furneaux Ln. CARROLLTON TX 75007,33.0059,-96.87355,,,
,1250 W Round Grove Rd LEWISVILLE TX 75067,33.00726,-97.02585,,,
,1330 E Rosemeade Pkwy. CARROLLTON TX 75007,33.01112,-96.9059,,,
,2525 Old Settlers Road FLOWER MOUND TX 75022,33.02036,-97.08096,,,
,1641 W Hebron Pkwy. CARROLLTON TX 75010,33.02303,-96.93983,,,
,4220 N Josey Ln. CARROLLTON TX 75010,33.02603,-96.88327,,,
,900 West Bellaire Blvd. LEWISVILLE TX 75067,33.0263,-97.01205,,,
,2001 Texan Dr. FORT WORTH TX 76102,33.03096,-97.31895,,,
,2501 Queen Margaret Dr. THE COLONY TX 75056,33.03338,-96.89673,,,
,2121 Cross Timbers Rd. FLOWER MOUND TX 75028,33.03349,-97.06064,,,
,4207 Plano Pkwy CARROLLTON TX 75010,33.03552,-96.85872,,,
,702 S. Mill St. LEWISVILLE TX 75057,33.03944,-96.99236,,,
,1197 W Main St. LEWISVILLE TX 75067,33.04326,-97.02321,,,
,1901 Timber Creek Rd FLOWER MOUND TX 75028,33.04433,-97.06082,,,
,2701 West Windsor Dr. FLOWER MOUND TX 75028,33.04789,-97.07112,,,
,1301 N Summit Ave LEWISVILLE TX 75067,33.06127,-97.01875,,,
,320 Waketon Rd. DOUBLE OAK TX 75077,33.06206,-97.09593,,,
,6200 Canyon Falls Dr FLOWER MOUND TX 76226,33.07295,-97.2038,,,
,1941 Jeter Rd E BARTONVILLE TX 76226,33.07427,-97.1327,,,
,100 Barnett Blvd HIGHLAND VILLAGE TX 75077,33.0783,-97.07234,,,
,1000 Highland Village Rd. HIGHLAND VILLAGE TX 75077,33.08494,-97.05325,,,
,415 N College JUSTIN TX 76247,33.08876,-97.30369,,,
,5600 North Colony Blvd. THE COLONY TX 75056,33.0975,-96.86448,,,
,6804 Main St. THE COLONY TX 75056,33.09787,-96.89195,,,
,212 Main St LAKE DALLAS TX 75065,33.11859,-97.02758,,,
,6060 Teasley Ln DENTON TX 76210,33.13411,-97.1062,,,
,2323 Stonebrook Pkwy FRISCO TX 75034,33.13667,-96.8201,,,
,9428 Ed Robson Cr. DENTON TX 76207,33.14011,-97.24148,,,
,330 W. Stonebrook Parkway FRISCO TX 75036,33.14536,-96.89354,,,
,3300 Corinth Pkwy. CORINTH TX 76208,33.15231,-97.05731,,,
,9400 Teel Pkwy. FRISCO TX 75033,33.15613,-96.86232,,,
,101 Shady Shores Rd. SHADY SHORES TX 76208,33.15732,-97.02875,,,
,107 Hardwicke Ln. LITTLE ELM TX 75068,33.15937,-96.93882,,,
,25631 Smotherman Rd FRISCO TX 75033,33.16363,-96.88495,,,
,3228 Teasley Ln DENTON TX 76208,33.17349,-97.11365,,,
,2600 Hart Rd LITTLE ELM TX 75068,33.17511,-96.92066,,,
,3703 Eldorado Pkwy FRISCO TX 75033,33.17704,-96.8573,,,
,102 W Bailey St PONDER TX 76259,33.18345,-97.28756,,,
,1001 Parvin St. DENTON TX 76205,33.18954,-97.1446,,,
,100-B Naylor Rd OAK POINT TX 75068,33.19108,-96.9921,,,
,2606 Panther Creek Pkwy. FRISCO TX 75034,33.19112,-96.86676,,,
,1357 Bernard St. DENTON TX 76201,33.20129,-97.1409,,,
,1300 Wilson St. DENTON TX 76205,33.2075,-97.11726,,,
,801 N. Texas Blvd. DENTON TX 76201,33.20764,-97.15392,,,
,321 E. McKinney Street DENTON TX 76201,33.21788,-97.12879,,,
,26750 E. University Dr AUBREY TX 76227,33.21926,-96.92914,,,
,623 Ector St. DENTON TX 76201,33.21983,-97.15571,,,
,230 N. Mayhill Rd. DENTON TX 76208,33.22453,-97.08073,,,
,1701 Navo Rd. AUBREY TX 76227,33.22789,-96.92846,,,
,1400 FM 424 CROSSROADS TX 76227,33.22937,-96.9881,,,
,2001 W. Windsor Drive DENTON TX 76207,33.23886,-97.1542,,,
,3020 N Locust DENTON TX 76209,33.24356,-97.13067,,,
,526 Hercules Lane DENTON TX 76209,33.25347,-97.12555,,,
,1200 Bobcat Blvd KRUM TX 76249,33.26612,-97.22798,,,
,226 Countryside Dr. AUBREY TX 76227,33.29001,-96.9903,,,
,101 Freese Drive SANGER TX 76266,33.3556,-97.17957,,,
,324 S Washington St PILOT POINT TX 76258,33.39375,-96.96173,,,
