name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,1109 B BAYOU RD LA MARQUE TX 77568,29.36972,-94.97105,,,
,11730 HIGHWAY 6 SANTA FE TX 77510,29.36895,-95.07608,,,
,1200 AMBURN ROAD TEXAS CITY TX 77591,29.39571,-94.99956,,,
,12002 HWY. 6 SANTA FE TX 77510,29.37048,-95.08203,,,
,13304 HIGHWAY 6 SANTA FE TX 77510,29.3786,-95.10524,,,
,16534 TERMINI-SAN LUIS PASS RD JAMAICA BEACH TX 77554,29.18475,-94.9699,,,
,1721 25TH ST. NORTH TEXAS CITY TX 77590,29.4012,-94.93137,,,
,174 CALDER RD LEAGUE CITY TX 77573,29.5036,-95.10455,,,
,1750 HIGHWAY 87 CRYSTAL BEACH TX 77650,29.4563,-94.64028,,,
,1804 S. FRIENDSWOOD DR. FRIENDSWOOD TX 77546,29.50522,-95.18655,,,
,200 PARKER CT LEAGUE CITY TX 77573,29.50221,-95.12352,,,
,200 SEAWOLF PARKWAY STE 102 GALVESTON TX 77554,29.31604,-94.81772,,,
,2010 5TH AVE. NO. TEXAS CITY TX 77590,29.39072,-94.92407,,,
,2051 BRITTANY BAY LEAGUE CITY TX 77573,29.48485,-95.11638,,,
,2105 DICKINSON AVE LEAGUE CITY TX 77573,29.48223,-95.04643,,,
,2215 FM 646 RD NORTH SANTA FE TX 77510,29.4273,-95.09215,,,
,2301 FM 646 W DICKINSON TX 77539,29.45825,-95.09538,,,
,255 N EGRET BAY BLVD LEAGUE CITY TX 77573,29.52173,-95.08092,,,
,2588 WEBSTER LEAGUE CITY TX 77573,29.51111,-95.06523,,,
,2714 HIGHWAY 3 DICKINSON TX 77539,29.47101,-95.06162,,,
,2803 53RD ST GALVESTON TX 77551,29.27552,-94.82205,,,
,2929 HIGHWAY 6 BAYOU VISTA TX 77563,29.32903,-94.9342,,,
,337 12TH STREET SAN LEON TX 77539,29.49295,-94.92275,,,
,3904 AVE. T GALVESTON TX 77550,29.28088,-94.80582,,,
,400 WEST WALKER LEAGUE CITY TX 77573,29.5033,-95.09456,,,
,401 LANDING BLVD LEAGUE CITY TX ,29.49827,-95.12672,,,
,404 8TH ST GALVESTON TX 77550,29.30979,-94.77536,,,
,4116 AVE N 1/2 GALVESTON TX 77550,29.28927,-94.81159,,,
,4320 W. MAIN LEAGUE CITY TX 77573,29.49563,-95.14138,,,
,500 ENTERPRISE AVE LEAGUE CITY TX 77573,29.54621,-95.05956,,,
,517 18TH AVE. NO. TEXAS CITY TX 77590,29.40178,-94.90208,,,
,600 59TH STREET ROOM 2100 GALVESTON TX 77551,29.29257,-94.83351,,,
,600 GRAND BACLIFF TX 77518,29.506,-94.98521,,,
,6333 HWY 6 HITCHCOCK TX 77563,29.34126,-94.99639,,,
,722 MOODY AVE GALVESTON TX 77550,29.30338,-94.78947,,,
,800 HWY 146 & HARRIS AVE KEMAH TX 77565,29.54107,-95.01938,,,
,807 S FRIENDSWOOD DR FRIENDSWOOD TX 77546,29.52465,-95.19466,,,
,"9850 EMMETT F LOWRY EXPY TEXAS CITY, TX TX 77591",29.40425,-95.01708,,,
