idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
2299,-95.56677,29.77622,0.05156,0.91625,0.86001,0.60671,0.80769,0.13308,0.17324,0.1414,0.17814,0.03699,0.26757,0.99024,0.4272,0.41155
29,-95.16473,29.52359,0.62319,0.0,0.62411,0.31837,0.93038,0.21256,0.40247,0.3156,0.30794,0.71791,0.48632,0.86916,0.42461,0.39516
68,-95.18843,29.54612,0.89332,0.76284,0.54888,0.21468,0.88957,0.46298,0.24054,0.34097,0.1393,0.74073,0.64079,0.94262,0.54104,0.5379
77,-95.11409,29.54328,0.37206,0.96815,0.64986,0.12405,0.89121,0.63672,0.45468,0.57649,0.40523,0.8983,0.79699,0.98058,0.64031,0.63959
166,-95.03038,29.56167,0.53466,0.97885,0.60488,0.2272,0.29275,0.50076,0.12168,0.01508,0.10892,0.82899,0.78219,0.99708,0.52115,0.53454
183,-95.2283,29.57648,0.70766,0.0,0.79816,0.15804,0.77114,0.03404,0.58952,0.36769,0.24839,0.88773,0.05252,0.65827,0.32568,0.29467
197,-95.11263,29.57208,0.66203,0.90525,0.97637,0.68202,0.70334,0.31511,0.3413,0.44083,0.58374,0.40265,0.40049,0.94858,0.49601,0.48385
308,-95.05406,29.58423,0.62012,0.76284,0.73898,0.17285,0.0,0.3512,0.05542,0.07852,0.17094,0.33786,0.86561,0.96842,0.41189,0.43367
407,-95.2682,29.60682,0.84539,0.0,0.77171,0.49956,0.79219,0.29753,0.84781,0.73292,0.54702,0.63001,0.75567,0.9388,0.59517,0.57554
411,-95.23514,29.60558,0.67989,0.0,0.81991,0.4631,0.85595,0.4104,0.64371,0.50648,0.35685,0.70222,0.55988,0.77386,0.54714,0.53057
521,-95.4411,29.62756,0.37145,0.72969,0.52817,0.56746,0.35976,0.82923,0.67811,0.73231,0.57105,0.855,0.18017,0.93197,0.54447,0.54621
655,-95.49831,29.64402,0.39728,0.72969,0.53885,0.9613,0.0,0.79603,0.37947,0.5145,0.90079,0.28759,0.67214,0.98938,0.56235,0.57667
687,-95.23371,29.63437,0.66282,0.0,0.0,0.33181,0.58084,0.70315,0.90465,0.76389,0.63155,0.66797,0.8176,0.96169,0.56682,0.56304
765,-95.18375,29.6397,0.77682,0.0,0.0,0.78963,0.81825,0.70986,0.68655,0.46806,0.50595,0.7438,0.59793,0.94385,0.53283,0.51643
