,osm_id,code,fclass,name,lon,lat
0,368160773,2002,fire_station,Huffman Fire Department,-95.0899,30.02493
1,368160998,2002,fire_station,Huffman Volunteer Fire Department,-95.0819,30.0257
2,368161210,2002,fire_station,Houston Fire Department Station 65,-95.10309,30.02058
3,368161330,2002,fire_station,Houston Fire Station Number 65,-95.106,30.0202
4,368161143,2002,fire_station,Missouri City Fire and Rescue Services Station 2,-95.51885,29.63033
5,368161240,2002,fire_station,Houston Fire Department Station 82,-95.51134,29.65792
6,368161284,2002,fire_station,Fire Station Number 2,-95.5208,29.6308
7,368161332,2002,fire_station,Houston Fire Station Number 62,-95.51132,29.65772
8,368162248,2001,police,Houston Police Department - Fondren Patrol,-95.50887,29.65887
9,368162265,2001,police,Houston Police Department - Westwood,-95.54698,29.67494
10,368160790,2002,fire_station,South Houston Fire Department,-95.23887,29.66549
11,368161067,2002,fire_station,Houston Fire Department Station 35,-95.338,29.6741
12,368161074,2002,fire_station,Houston Fire Department Station 26,-95.30505,29.68175
13,368161077,2002,fire_station,Houston Fire Department Station 29,-95.25371,29.684
14,368161196,2002,fire_station,Houston Fire Department Station 52,-95.2297,29.63509
15,368161199,2002,fire_station,Houston Fire Department Station 55,-95.35617,29.63756
16,368161206,2002,fire_station,Houston Fire Department Station 46,-95.36434,29.68593
17,368161225,2002,fire_station,Houston Fire Department Station 61,-95.26708,29.62538
18,368161243,2002,fire_station,Houston Fire Department Station 81,-95.27841,29.64141
19,368161265,2002,fire_station,South Houston Fire Station,-95.2391,29.666
20,368161333,2002,fire_station,Houston Fire Station Number 55,-95.3568,29.6402
21,368162245,2001,police,Houston Police Department - Southeast Patrol,-95.31644,29.65751
22,368162249,2001,police,Houston Police Department - Palm Center,-95.33406,29.69582
23,368162258,2001,police,Houston Police Department - Sunnyside,-95.37087,29.65877
24,368162275,2001,police,Houston Police Department - Hobby Airport,-95.28021,29.65706
25,368162328,2001,police,Houston Police Department - Leija,-95.25397,29.68511
26,368162333,2001,police,South Houston Police Department,-95.23932,29.66532
27,368162672,2001,police,South Houston Police Station,-95.2394,29.6658
28,368162703,2001,police,Houston Police Department - Broadway Square,-95.27678,29.67583
