name,address,lat,lon
Northbrook Senior High School,1 Raider Circle South Houston 77080-3995 ,29.81697,-95.53187
Spring Branch Middle School,1000 Piney Point Road Houston 77024-2796 ,29.78215,-95.51717
EV144J - John Phelps Courthouse,101 South Richey Street Pasadena 77506 ,29.71181,-95.21918
Trinity Episcopal Church,1015 Holman Street Houston 77002-8625 ,29.73984,-95.37796
EV001C - County Attorney Conference Center,1019 Congress Avenue Houston 77002 ,29.76213,-95.35989
Shady Lane Park Community Center,10220 Shady Lane Houston 77093-4604 ,29.85982,-95.34252
Grace Presbyterian Church,10221 Ella Lee Lane Houston 77042-2999 ,29.73962,-95.55414
City of Spring Valley City Hall,1025 Campbell Road Houston 77055-7495 ,29.78694,-95.51537
Little York Volunteer Fire Station 81,10410 Airline Drive Houston 77037-1304 ,29.90712,-95.40152
Korean Christian Church of Houston,10410 Clay Road Houston 77041-8752 ,29.83281,-95.5518
Westbury Baptist Church,10425 Hillcroft Street Houston 77096-4798 ,29.66757,-95.49146
Paul Revere Middle School,10502 Briar Forest Drive Houston 77042-2338 ,29.7483,-95.56107
Frazier Elementary School PISD,10503 Hughes Road Houston 77089-4530 ,29.58893,-95.22699
Walnut Bend Elementary School,10620 Briar Forest Drive Houston 77042-2320 ,29.74764,-95.56386
Parker Elementary School,10626 Atwell Drive Houston 77096-4925 ,29.66557,-95.48311
North Forest High School,10726 Mesa Drive Houston 77078-1401 ,29.86683,-95.25979
Bleyl Middle School,10800 Mills Road Houston 77070-4499 ,29.96376,-95.58076
EV138Z - Encourager Church,10950 Katy Freeway Houston 77043-3504 ,29.78593,-95.57318
Saint Basil the Great Greek Orthodox Church,1100 Eldridge Parkway Houston 77077 ,29.76466,-95.62641
Hogg Middle School,1100 Merrill Street Houston 77009-6009 ,29.78929,-95.38597
Beverly Hills Intermediate School,11111 Beamer Road Houston 77089-2305 ,29.6074,-95.22602
Bernshausen Elementary School,11116 Mahaffey Road Tomball 77375-6908 ,30.09165,-95.58733
Memorial Drive Elementary School,11202 Smithdale Road Houston 77024-6799 ,29.771,-95.51161
Cypress Fairbanks Exhibit Center,11206 Telge Road Cypress 77429-3398 ,29.93894,-95.64719
Humble Middle School,11207 Will Clayton Parkway Humble 77346-3005 ,29.97911,-95.21013
Douglas Smith Elementary School,11300 Stancliff Road Houston 77099-4298 ,29.66297,-95.57797
Adam Elementary School,11303 Honey Grove Lane Houston 77065-2226 ,29.93849,-95.61448
Humble City Hall,114 West Higgins Street Humble 77338 ,30.00025,-95.26799
Kohrville Elementary School,11600 Woodland Shore Drive Tomball 77375-8098 ,30.0468,-95.59258
Glorious Way Church,11611 Champion Forest Drive Houston 77066-2740 ,29.96015,-95.50367
Platou Community Center,11655 Chimney Rock Road Houston 77035-2807 ,29.65314,-95.47957
Memorial Drive Christian Church,11750 Memorial Drive Houston 77024-7298 ,29.75497,-95.52884
Emmott Elementary School,11750 Steepleway Boulevard Houston 77065-4366 ,29.9161,-95.59381
