provider,lat,lon,num_stops_per_week,score
Metropolitan Transit Authority of Harris County,29.70433,-95.40362,4205,4
Metropolitan Transit Authority of Harris County,29.72824,-95.33517,2877,3
Metropolitan Transit Authority of Harris County,29.70139,-95.35718,2269,3
Metropolitan Transit Authority of Harris County,29.81412,-95.32788,2192,3
Metropolitan Transit Authority of Harris County,29.9486,-95.41038,1938,2
Metropolitan Transit Authority of Harris County,29.65534,-95.27578,1858,2
Metropolitan Transit Authority of Harris County,29.75021,-95.3711,1827,2
Metropolitan Transit Authority of Harris County,29.76517,-95.36502,1827,2
Metropolitan Transit Authority of Harris County,29.70571,-95.46883,1771,2
Metropolitan Transit Authority of Harris County,29.87602,-95.4141,1752,2
Metropolitan Transit Authority of Harris County,29.67382,-95.40214,1725,2
Metropolitan Transit Authority of Harris County,29.78344,-95.45386,1697,2
Metropolitan Transit Authority of Harris County,29.77535,-95.31538,1552,2
Metropolitan Transit Authority of Harris County,29.71137,-95.62941,1405,2
Metropolitan Transit Authority of Harris County,29.73518,-95.30304,1380,2
Metropolitan Transit Authority of Harris County,29.7332,-95.3832,1348,2
Metropolitan Transit Authority of Harris County,29.76416,-95.36378,1236,2
Metropolitan Transit Authority of Harris County,29.83253,-95.3767,1191,2
Metropolitan Transit Authority of Harris County,29.94645,-95.40843,1129,2
Metropolitan Transit Authority of Harris County,29.6139,-95.43186,1107,2
Metropolitan Transit Authority of Harris County,29.73501,-95.3343,1026,2
Metropolitan Transit Authority of Harris County,29.73351,-95.3349,1026,2
Metropolitan Transit Authority of Harris County,29.73043,-95.33359,1015,2
Metropolitan Transit Authority of Harris County,29.73304,-95.33252,1015,2
Metropolitan Transit Authority of Harris County,29.73436,-95.33199,1015,2
Metropolitan Transit Authority of Harris County,29.84978,-95.26427,994,2
Metropolitan Transit Authority of Harris County,29.95057,-95.40946,964,2
Metropolitan Transit Authority of Harris County,29.61966,-95.36789,959,2
Metropolitan Transit Authority of Harris County,29.65521,-95.55984,927,2
Metropolitan Transit Authority of Harris County,29.72534,-95.46466,913,2
Metropolitan Transit Authority of Harris County,29.7041,-95.40147,909,2
Metropolitan Transit Authority of Harris County,29.85163,-95.33705,905,2
Metropolitan Transit Authority of Harris County,29.67952,-95.45719,896,2
Metropolitan Transit Authority of Harris County,30.02211,-95.4176,889,2
Metropolitan Transit Authority of Harris County,29.80103,-95.45923,885,2
Metropolitan Transit Authority of Harris County,29.73124,-95.65157,880,2
Metropolitan Transit Authority of Harris County,29.74665,-95.36782,867,2
Metropolitan Transit Authority of Harris County,29.83126,-95.37619,852,2
Metropolitan Transit Authority of Harris County,29.76326,-95.3623,849,2
Metropolitan Transit Authority of Harris County,29.77888,-95.54428,843,2
Metropolitan Transit Authority of Harris County,29.78065,-95.54423,843,2
Metropolitan Transit Authority of Harris County,29.78261,-95.5438,843,2
Metropolitan Transit Authority of Harris County,29.73667,-95.33324,839,2
Metropolitan Transit Authority of Harris County,29.73167,-95.33566,839,2
Metropolitan Transit Authority of Harris County,29.7522,-95.37137,834,2
Metropolitan Transit Authority of Harris County,29.76122,-95.36423,834,2
Metropolitan Transit Authority of Harris County,29.75965,-95.36548,834,2
Metropolitan Transit Authority of Harris County,29.75815,-95.36665,834,2
Metropolitan Transit Authority of Harris County,29.75666,-95.36783,834,2
Metropolitan Transit Authority of Harris County,29.7552,-95.36898,834,2
Metropolitan Transit Authority of Harris County,29.75369,-95.37018,834,2
Metropolitan Transit Authority of Harris County,29.76094,-95.35686,833,2
Metropolitan Transit Authority of Harris County,29.7599,-95.35514,833,2
Metropolitan Transit Authority of Harris County,29.73663,-95.3319,829,2
Metropolitan Transit Authority of Harris County,29.64918,-95.52716,820,2
Metropolitan Transit Authority of Harris County,29.94316,-95.40611,804,2
Metropolitan Transit Authority of Harris County,29.75462,-95.37049,798,2
Metropolitan Transit Authority of Harris County,29.75761,-95.36812,798,2
Metropolitan Transit Authority of Harris County,29.75911,-95.36694,798,2
Metropolitan Transit Authority of Harris County,29.94496,-95.40433,794,2
Metropolitan Transit Authority of Harris County,29.9466,-95.40475,794,2
Metropolitan Transit Authority of Harris County,29.94832,-95.40664,794,2
Metropolitan Transit Authority of Harris County,29.77194,-95.35852,790,2
Metropolitan Transit Authority of Harris County,29.9635,-95.54987,787,2
Metropolitan Transit Authority of Harris County,29.75885,-95.36466,783,2
Metropolitan Transit Authority of Harris County,29.75611,-95.36932,781,2
Metropolitan Transit Authority of Harris County,29.83712,-95.3758,779,2
Metropolitan Transit Authority of Harris County,29.83501,-95.37591,779,2
Metropolitan Transit Authority of Harris County,29.70418,-95.40638,773,2
Metropolitan Transit Authority of Harris County,29.63088,-95.33915,756,2
Metropolitan Transit Authority of Harris County,29.75724,-95.36204,741,2
Metropolitan Transit Authority of Harris County,29.70139,-95.40906,739,2
Metropolitan Transit Authority of Harris County,29.69988,-95.41025,739,2
Metropolitan Transit Authority of Harris County,29.69812,-95.41162,739,2
Metropolitan Transit Authority of Harris County,29.76116,-95.36043,737,2
Metropolitan Transit Authority of Harris County,29.75811,-95.36283,737,2
Metropolitan Transit Authority of Harris County,29.69823,-95.41125,733,2
Metropolitan Transit Authority of Harris County,29.69971,-95.41007,733,2
Metropolitan Transit Authority of Harris County,29.70094,-95.40912,733,2
Metropolitan Transit Authority of Harris County,29.70402,-95.40666,733,2
Metropolitan Transit Authority of Harris County,29.70406,-95.40057,720,2
Metropolitan Transit Authority of Harris County,29.70595,-95.39901,719,2
Metropolitan Transit Authority of Harris County,29.76058,-95.36577,719,2
Metropolitan Transit Authority of Harris County,29.73764,-95.51218,712,2
Metropolitan Transit Authority of Harris County,29.73762,-95.51458,712,2
Metropolitan Transit Authority of Harris County,29.73758,-95.51765,712,2
Metropolitan Transit Authority of Harris County,29.75018,-95.37,708,2
Metropolitan Transit Authority of Harris County,29.75873,-95.36086,704,2
Metropolitan Transit Authority of Harris County,29.7046,-95.39954,704,2
Metropolitan Transit Authority of Harris County,29.74977,-95.36797,704,2
Metropolitan Transit Authority of Harris County,29.76029,-95.35963,704,2
Metropolitan Transit Authority of Harris County,29.76161,-95.35859,704,2
Metropolitan Transit Authority of Harris County,29.75275,-95.3656,704,2
Metropolitan Transit Authority of Harris County,29.75426,-95.36439,704,2
