lat,lon
29.84687,-95.42818
29.84688,-95.42616
29.85126,-95.42299
29.85395,-95.42303
29.85001,-95.41258
29.85868,-95.41804
29.87345,-95.41738
29.87513,-95.41738
29.87439,-95.4211
29.87998,-95.42071
29.8823,-95.42074
29.8824,-95.42376
29.88238,-95.42618
29.88211,-95.42817
29.88195,-95.43363
29.88184,-95.43786
29.88263,-95.44253
29.88255,-95.44513
29.88748,-95.4533
29.71058,-95.40179
29.78436,-95.2175
29.67218,-95.54829
29.9486,-95.41038
29.86493,-95.43099
29.77535,-95.31538
29.72258,-95.49588
29.70139,-95.35718
29.6139,-95.43186
29.70571,-95.46883
29.72824,-95.33517
29.81412,-95.32788
29.73518,-95.30304
29.84978,-95.26427
29.78308,-95.45546
29.85163,-95.33705
29.60989,-95.21694
29.66396,-95.25462
29.87602,-95.4141
30.02211,-95.4176
29.72034,-95.53716
29.77402,-95.74443
29.67967,-95.57301
29.78746,-95.63834
29.55287,-95.1242
29.9278,-95.29815
30.05434,-95.18307
29.97365,-95.42538
29.86978,-95.55316
29.71137,-95.62941
29.9022,-95.59404
29.62184,-95.50715
29.92781,-95.49931
29.65521,-95.55984
29.67952,-95.45719
29.76248,-95.5064
29.71466,-95.54751
29.71458,-95.54767
29.6942,-95.53702
29.70527,-95.51563
29.71735,-95.50008
29.72508,-95.46827
29.78689,-95.46792
29.78878,-95.46797
29.79119,-95.46801
29.79273,-95.46805
29.79288,-95.46819
29.79107,-95.46819
29.78878,-95.46817
29.7871,-95.46814
29.71669,-95.46388
29.67145,-95.52969
29.75315,-95.39829
29.74103,-95.45686
29.74156,-95.43868
29.74199,-95.43029
29.75149,-95.46293
29.77393,-95.45645
29.78005,-95.45656
29.73639,-95.58572
29.77279,-95.58014
29.80005,-95.3327
29.84803,-95.34467
29.80352,-95.28451
29.80403,-95.28475
29.78518,-95.2646
29.78852,-95.26598
29.79062,-95.26683
29.79666,-95.27029
29.79852,-95.27324
29.8038,-95.41472
29.7303,-95.65032
29.78058,-95.63013
29.73737,-95.51036
29.73764,-95.51218
29.78038,-95.26036
29.77968,-95.26231
29.78437,-95.26575
29.78223,-95.27018
29.77988,-95.27161
29.77746,-95.27213
29.77078,-95.27763
29.76942,-95.27692
29.76622,-95.27607
29.76582,-95.27292
29.76551,-95.27042
29.7634,-95.27013
29.76193,-95.2701
29.76044,-95.27009
29.75987,-95.27286
29.75745,-95.2728
29.75735,-95.27473
29.75952,-95.27581
29.75962,-95.27748
29.76124,-95.27806
29.7722,-95.28331
29.77953,-95.27141
29.78192,-95.27015
29.78418,-95.26551
29.78543,-95.26163
29.7846,-95.2604
29.79182,-95.26469
29.7924,-95.25922
29.79335,-95.25443
29.79482,-95.24642
29.79864,-95.24106
29.80504,-95.2404
29.80788,-95.24045
29.8101,-95.24045
29.81221,-95.24046
29.81237,-95.24064
29.81039,-95.24065
29.80827,-95.24061
29.80518,-95.24059
29.80165,-95.24056
29.79886,-95.24111
29.79365,-95.25412
29.79279,-95.25845
29.79206,-95.26422
29.96613,-95.53996
29.76264,-95.35925
29.76116,-95.36043
29.76037,-95.36105
29.75287,-95.36698
29.75212,-95.36758
29.75063,-95.36877
29.74977,-95.36797
29.75957,-95.3602
29.76029,-95.35963
29.76161,-95.35859
29.76649,-95.35644
29.76233,-95.36891
29.7596,-95.36166
29.75892,-95.3622
29.75811,-95.36283
29.75732,-95.36346
29.75658,-95.36405
29.75597,-95.36452
29.7551,-95.36522
29.75435,-95.36583
29.75368,-95.36634
29.75142,-95.36814
29.74903,-95.36854
29.75202,-95.36618
29.75275,-95.3656
29.75352,-95.36498
29.75426,-95.36439
29.75499,-95.36382
29.75575,-95.36322
29.75645,-95.36264
29.75724,-95.36204
29.75798,-95.36146
29.76095,-95.3591
29.76251,-95.35786
29.76251,-95.35949
29.76356,-95.36482
29.75127,-95.36678
29.74866,-95.36749
29.74917,-95.36834
29.7497,-95.3692
29.75018,-95.37
29.75075,-95.37094
29.75132,-95.37554
29.74761,-95.36575
29.74813,-95.36659
29.75175,-95.3726
29.7531,-95.37333
29.75504,-95.36345
29.75617,-95.36531
29.75723,-95.36708
29.75829,-95.36881
29.76797,-95.32165
29.76789,-95.31904
29.77095,-95.31732
29.77242,-95.31733
29.77258,-95.31585
29.75918,-95.34652
29.76457,-95.34222
29.76462,-95.33953
29.76465,-95.33759
29.76468,-95.33582
29.76471,-95.33383
29.7653,-95.33185
29.76534,-95.32986
29.76535,-95.32775
29.76539,-95.32555
29.76541,-95.32335
29.76486,-95.32139
29.76435,-95.31839
29.76374,-95.31623
29.76283,-95.31324
29.76225,-95.31119
29.76153,-95.30868
29.76004,-95.30442
29.75857,-95.30163
29.75809,-95.30072
29.75743,-95.29948
29.7567,-95.29558
29.75771,-95.29926
29.75864,-95.30106
29.76029,-95.30425
29.76148,-95.30755
29.762,-95.30935
29.7624,-95.31077
29.76312,-95.31328
29.76368,-95.3152
29.76413,-95.31698
29.76454,-95.31851
29.76488,-95.32103
29.76555,-95.32408
29.76553,-95.32788
29.7655,-95.33013
29.76546,-95.33176
29.7649,-95.33364
29.76484,-95.33547
29.76481,-95.33719
29.76477,-95.34048
29.76474,-95.34201
29.74712,-95.43831
29.73196,-95.42848
29.75245,-95.45396
29.75007,-95.45395
29.7478,-95.45389
29.74843,-95.4538
29.75064,-95.45381
29.75261,-95.45383
29.73672,-95.41061
29.73838,-95.41063
29.74034,-95.41064
29.74211,-95.41066
29.7446,-95.41055
29.74654,-95.41059
29.74896,-95.41061
