osm_id,code,fclass,name,point_x,point_y,lon,lat
356698896,2082,school,Antioch School,-94.1290760000,32.6032039000,-94.12908,32.6032
356701588,2082,school,Carver High School,-94.1626876000,32.6468130000,-94.16269,32.64681
356706076,2082,school,Friendly School,-94.4979775000,32.6793089000,-94.49798,32.67931
356707041,2082,school,Green Star School,-94.4665880000,32.6193119000,-94.46659,32.61931
356699228,2082,school,Austin School,-94.3799188000,32.5440381000,-94.37992,32.54404
356701606,2082,school,Carver School,-94.3882527000,32.5312608000,-94.38825,32.53126
356704377,2082,school,David Crockett School,-94.3210277000,32.5476494000,-94.32103,32.54765
356704777,2082,school,Dogan School,-94.3846413000,32.5337607000,-94.38464,32.53376
356704952,2082,school,Dunbar School,-94.3533607000,32.5335964000,-94.35336,32.5336
356705083,2082,school,East Texas Baptist University,-94.3727409000,32.5558775000,-94.37274,32.55588
356705283,2082,school,Elysian Fields School,-94.1446340000,32.3798782000,-94.14463,32.37988
356706924,2082,school,Grange Hall School,-94.4040869000,32.5032064000,-94.40409,32.50321
356709135,2082,school,Jonesville School,-94.1226877000,32.5329290000,-94.12269,32.53293
356709330,2082,school,Kelly School,-94.2249136000,32.5145959000,-94.22491,32.5146
356711585,2082,school,Moore School,-94.3840855000,32.5634816000,-94.38409,32.56348
356714431,2082,school,Former Location of Pemberton High School,-94.3752446000,32.5343900000,-94.37524,32.53439
356719773,2082,school,Robert E Lee School,-94.3646403000,32.5562599000,-94.36464,32.55626
356720856,2082,school,Saint Joseph School,-94.3621406000,32.5243168000,-94.36214,32.52432
356723378,2082,school,Sam Houston School,-94.3561589000,32.5454298000,-94.35616,32.54543
356726669,2082,school,,-94.3723058000,32.5540955000,-94.37231,32.5541
356727675,2082,school,Wiley College,-94.3765855000,32.5370939000,-94.37659,32.53709
356730507,2082,school,Canaan School,-94.4185319000,32.4662630000,-94.41853,32.46626
356741104,2082,school,Mount School,-94.3549188000,32.4132096000,-94.35492,32.41321
356743203,2082,school,Pine Grove School,-94.3613080000,32.3776550000,-94.36131,32.37765
356744640,2082,school,Rosenwald Vocational and Agriculture School,-94.2640821000,32.4712638000,-94.26408,32.47126
356746263,2082,school,Shady Grove School,-94.2985282000,32.3537672000,-94.29853,32.35377
356804479,2082,school,Price T Young Middle School,-94.3813156000,32.5318337000,-94.38132,32.53183
356804482,2082,school,R E Lee Elementary School,-94.3646403000,32.5562599000,-94.36464,32.55626
356804486,2082,school,Sam Houston Middle School,-94.3354648000,32.5405793000,-94.33546,32.54058
356804495,2082,school,Washington Early Childhood Center,-94.3794148000,32.5543237000,-94.37941,32.55432
356804500,2082,school,Waskom Elementary School,-94.0596305000,32.4776534000,-94.05963,32.47765
356804506,2082,school,William B Travis Elementary School,-94.3684378000,32.5166081000,-94.36844,32.51661
356804642,2082,school,Marshall Junior High School,-94.3742959000,32.5440464000,-94.3743,32.54405
356804739,2082,school,Crockett Elementary School,-94.3208488000,32.5478840000,-94.32085,32.54788
356804743,2082,school,Elysian Fields Elementary School,-94.1446340000,32.3798782000,-94.14463,32.37988
356804747,2082,school,G W Carver Elementary School,-94.3876971000,32.5315385000,-94.3877,32.53154
356804754,2082,school,Marshall High School,-94.3537829000,32.5306235000,-94.35378,32.53062
1615984690,2402,motel,Super 8 Motel,-94.3589413000,32.4866670000,-94.35894,32.48667
6122489015,2501,supermarket,Brookshire's,-94.3584536000,32.5275785000,-94.35845,32.52758
6122493195,2501,supermarket,Brookshire's,-94.3519643000,32.5465997000,-94.35196,32.5466
356734815,2082,school,Galilee School,-94.5656151000,32.4967886000,-94.56562,32.49679
