,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,368160171,2001,police,McAllen Community Policing,-98.2655988000,26.1673040000,-98.2656,26.1673
1,368160237,2002,fire_station,Mercedes Fireman Quarters,-97.9119778000,26.1491117000,-97.91198,26.14911
2,368160243,2001,police,McAllen Community Policing,-98.2167850000,26.1869381000,-98.21678,26.18694
3,368160246,2001,police,McAllen Community Policing,-98.2368826000,26.2014856000,-98.23688,26.20149
4,368160248,2001,police,McAllen Community Policing,-98.2134454000,26.2117199000,-98.21345,26.21172
5,368160249,2001,police,McAllen Community Policing,-98.2428996000,26.2023852000,-98.2429,26.20239
6,368160250,2001,police,McAllen Community Policing,-98.2478742000,26.1797780000,-98.24787,26.17978
7,368160491,2009,courthouse,Old Hidalgo Courthouse and Buildings,-98.2627906000,26.0997991000,-98.26279,26.0998
8,368160550,2002,fire_station,Edcouch Volunteer Fire Department,-97.9620287000,26.2941456000,-97.96203,26.29415
9,368160573,2002,fire_station,McAllen Fire Department Central Fire Station 1,-98.2387492000,26.2037054000,-98.23875,26.20371
10,368160588,2001,police,DPS station,-98.3207863000,26.2150400000,-98.32079,26.21504
11,368160591,2002,fire_station,McAllen Fire Department Station 2,-98.2307190000,26.2297858000,-98.23072,26.22979
12,368160594,2002,fire_station,McAllen Fire Department Station 3,-98.2182576000,26.1978704000,-98.21826,26.19787
13,368160615,2002,fire_station,McAllen Fire Department Station 6,-98.2537713000,26.1581981000,-98.25377,26.1582
14,368160616,2002,fire_station,McAllen Fire Department Station 5,-98.2376896000,26.2542620000,-98.23769,26.25426
15,368160642,2002,fire_station,Edinburg Fire Department Station 3,-98.1497126000,26.2998824000,-98.14971,26.29988
16,368160643,2002,fire_station,Weslaco Fire Department Station 2,-97.9899404000,26.1567978000,-97.98994,26.1568
17,368160664,2002,fire_station,Hidalgo Fire Department,-98.2601924000,26.1002698000,-98.26019,26.10027
18,368160681,2002,fire_station,Mercedes Fire Department,-97.9118301000,26.1497192000,-97.91183,26.14972
19,368160697,2002,fire_station,La Joya Fire Department,-98.4792402000,26.2477344000,-98.47924,26.24773
