geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
48217960100,217,0.05938,0,0.99334,0,0.15381,0,0.12718,0,0.07266,0,,1,0.05201,0,0.20125,0,0.72007,0,0.10942,0,0.17882,0,0.12213,0.10238,4080,357.1408,11.42407,0.04029,,0,0.02295
48217960200,217,0.00648,1,0.98469,0,0.12208,0,0.08648,0,0.0687,0,,1,0.00267,1,0.05714,0,0.91085,0,0.14126,0,0,1,0.01514,0.17533,4452,403.55183,11.03204,0.06253,,,0.0157
48217960400,217,0.00196,1,0.92807,0,0.151,0,0.16923,0,0.03563,0,,1,0.00333,1,0.09501,1,0.89311,0,0.06426,0,0.42915,0,0.01487,0.04187,1994,12.59903,158.26612,0.08493,,,0.05264
48217960500,217,0.02023,0,0.97875,0,0.15163,0,0.03888,0,0.06611,0,,1,0.01108,1,0.09259,0,0.87452,0,0.17599,0,0,1,0.13413,0.22912,5885,397.82688,14.79287,0.06606,,0,0.01414
48217960600,217,0.05291,0,0.95918,0,0.21036,0,0.21993,0,0.06479,0,,1,0.11972,1,0.20211,0,0.66127,0,0.03609,0,0.9568,0,0.06681,0.0017,1338,2.03529,657.40118,0.07056,,0,0.00964
48217960700,217,0.03083,0,0.95924,0,0.17282,0,0.0566,0,0.08107,0,,1,0.06311,0,0.15388,0,0.77961,0,0.05847,0,0,1,0.03836,0.11656,2023,350.39551,5.77348,0.0426,,0,0.00946
48217960800,217,0.04841,0,0.8902,0,0.16062,0,0.1212,0,0.11192,0,,0,0.14721,0,0.25792,0,0.53514,0,0.09128,0,0.94587,0,0.10569,0.00553,3473,6.53952,531.07841,0.05275,,0,0
48217960900,217,0.23068,0,0.91,0,0.17189,0,0.18451,0,0.11614,0,,1,0.0959,0,0.6537,0,0.2504,0,0.0386,0,0.6223,0,0.14927,0.01317,2298,9.15518,251.00536,0.05148,,0,0
48217961000,217,0.14938,0,0.93403,0,0.18131,0,0.18478,0,0.09216,0,,1,0.2586,0,0.51261,0,0.16323,0,0.04438,0,0.65774,0,0.03158,0.01305,1930,5.77037,334.46705,0.05272,,0,0
48217961100,217,0.03962,0,0.88104,0,0.07212,0,0.06856,0,0.14032,0,,1,0.03319,0,0.21714,0,0.73478,0,0.11463,0,0,1,0.25209,0.18686,3701,489.6079,7.55911,0.04805,,0,0.0171
48217961400,217,0.03026,0,0.93573,0,0.19224,0,0.25221,0,0.06726,0,,1,0.06206,0,0.19929,0,0.71928,0,0.12563,0,0.17011,0,0.06994,0.11443,3915,518.38024,7.55237,0.06573,,0,0.01593
