geoid,countyfp,pollvoter_dens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth,job_dens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,pop10,areakm,popdens
48303000100,303,0.00259,0.7185,0.60674,0.33333,0.57143,0.01133,0.75787,0,0.14821,0,0.9873,0,0.13362,0,0.13385,0,0.087,0,0.01248,1,0.01101,1,0.75294,0,0.21806,0,0.0079,0,2628,9.25823,283.85555
48303000201,303,0.01655,0.72906,0.70186,0.84236,0.69674,0.02717,0.0,1,0.02487,0,0.94811,0,0.2628,0,0.23952,0,0.11798,0,0.0,1,0.1008,0,0.46048,0,0.43872,0,0.0052,0,1856,21.88834,84.79401
48303000202,303,0.00103,0.69912,0.69091,0.65665,0.73913,0.00734,0.7908,0,0.20909,0,0.88182,0,0.21042,0,0.32307,0,0.10691,0,0.0,1,0.06973,1,0.83033,0,0.09994,0,0.00485,0,1993,1.41483,1408.64692
48303000301,303,0.0086,0.67191,0.66771,0.90476,0.633,0.00208,0.51428,0,0.08638,0,0.88293,0,0.11029,0,0.45484,0,0.46284,0,0.09345,0,0.14251,0,0.42727,0,0.3066,0,0.01383,0,3884,0.98981,3923.96671
48303000302,303,0.01412,0.70477,0.68833,0.8951,0.66569,0.00886,0.49074,0,0.15601,0,0.91376,0,0.22217,0,0.33246,0,0.17515,0,0.08238,0,0.05985,0,0.73617,0,0.1194,0,0.02081,0,7258,4.44062,1634.45516
48303000402,303,0.01426,0.77675,0.70347,0.74486,0.66549,0.00629,0.32604,0,0.02264,1,0.90818,0,0.06726,0,0.21182,0,0.19262,0,0.01245,1,0.09258,0,0.27139,0,0.60027,0,0.01518,0,4464,2.44413,1826.41655
48303000403,303,0.00901,0.8236,0.71272,0.86168,0.70183,0.00423,0.42206,0,0.03836,0,0.98401,0,0.08843,0,0.11153,0,0.1899,0,0.05627,1,0.02763,1,0.25245,0,0.65612,0,0.01387,0,3543,2.59024,1367.82616
48303000404,303,0.02156,0.74506,0.69936,0.67772,0.68987,0.00984,0.46908,0,0.039,0,0.95329,0,0.07386,0,0.18399,0,0.20276,0,0.04879,0,0.06083,0,0.25548,0,0.59891,0,0.02642,0,7437,5.32217,1397.3635
48303000405,303,0.03045,0.75779,0.71111,0.70188,0.67761,0.01428,0.39172,0,0.07335,0,0.96485,0,0.08465,0,0.2624,0,0.22758,0,0.03387,1,0.09712,0,0.42031,0,0.4345,0,0.03761,0,10654,10.4543,1019.10257
48303000500,303,0.02241,0.78369,0.6819,0.85829,0.71947,0.14149,0.4764,0,0.03667,0,0.8237,0,0.03612,1,0.34724,0,0.86279,0,0.04513,0,0.0499,0,0.22465,0,0.64902,0,0.03546,0,7260,7.65384,948.54371
48303000603,303,0.00639,0.72303,0.71348,0.53846,0.73672,0.00789,0.64741,0,0.03041,1,0.91502,0,0.05007,1,0.74601,0,0.80405,0,0.03807,1,0.09798,0,0.16906,0,0.65415,0,0.01538,0,3125,0.70674,4421.74094
48303000605,303,0.00498,0.72303,0.71348,0.53846,0.73672,0.00471,0.0,1,0.01067,1,0.8255,0,0.09615,0,0.76734,0,0.88901,0,0.00427,1,0.14088,0,0.1238,0,0.69797,0,0.00391,0,903,0.55104,1638.70594
48303000607,303,0.00424,0.67184,0.63265,0.0,0.60504,0.00636,0.63082,0,0.08646,0,0.87923,0,0.12928,0,0.41948,0,0.33902,0,0.06146,1,0.10666,1,0.40008,0,0.40325,0,0.0081,0,2160,1.06043,2036.91838
48303000700,303,0.00634,0.68021,0.65395,0.55358,0.57135,0.10063,0.0,1,0.15181,1,0.9233,0,0.12518,0,0.17062,0,0.10803,0,0.0,1,0.03416,1,0.8144,0,0.15143,0,0.00348,0,2140,4.64846,460.36716
48303000900,303,0.01118,0.74121,0.68345,0.43341,0.49145,0.0107,0.20888,0,0.06755,0,0.90033,0,0.23162,0,0.37549,0,0.05258,0,0.0,1,0.47454,0,0.4614,0,0.02851,0,0.01543,0,5096,10.69876,476.31698
48303001000,303,0.00839,0.74444,0.68472,0.66667,0.53218,0.00461,0.02247,0,0.07551,0,0.8826,0,0.1936,0,0.25103,0,0.16117,0,0.0,1,0.50236,0,0.39501,0,0.08904,1,0.01083,0,3311,9.27819,356.85837
48303001200,303,0.00486,0.73647,0.53704,0.66667,0.66667,0.00247,0.46137,0,0.01242,1,0.676,0,0.25734,0,0.35602,0,0.11957,0,0.00358,1,0.71652,0,0.20779,0,0.0721,1,0.00733,0,2769,11.19142,247.4216
48303001300,303,0.00541,0.70629,0.65892,0.71865,0.52339,0.01196,0.33458,0,0.19906,0,0.78389,0,0.21436,0,0.31546,0,0.16703,0,0.01896,1,0.04668,1,0.83042,0,0.09701,0,0.00865,0,3254,2.8672,1134.90688
48303001400,303,0.01494,0.68256,0.6042,1.0,0.6104,0.00865,0.50852,0,0.06004,0,0.95416,0,0.11612,0,0.23146,0,0.30869,0,0.00082,1,0.06182,0,0.41569,0,0.50257,0,0.01793,0,4852,2.25299,2153.57791
48303001501,303,0.01264,0.7175,0.71875,1.0,0.67513,0.00114,0.31238,0,0.00227,1,0.98052,0,0.0883,0,0.32923,0,0.30313,0,0.02088,1,0.00708,1,0.1264,0,0.80984,0,0.01019,0,2138,1.30279,1641.09066
48303001502,303,0.01028,0.72288,0.75413,1.0,0.72977,0.00226,0.40527,0,0.00472,1,0.96252,0,0.10683,0,0.49498,0,0.52027,0,0.0,1,0.02369,1,0.11562,0,0.85789,0,0.01019,0,2194,1.2962,1692.64562
48303001601,303,0.00652,0.82358,0.71429,1.0,0.71845,0.01031,0.33953,0,0.03556,0,0.93458,0,0.0803,0,0.34627,0,0.10162,0,0.03235,1,0.03165,1,0.32349,0,0.59599,0,0.00895,0,3000,2.65964,1127.97062
48303001602,303,0.01086,0.75425,0.61167,1.0,0.665,0.04973,0.40035,0,0.06997,0,0.94548,0,0.08549,0,0.26066,0,0.36844,0,0.01719,1,0.05438,1,0.31969,0,0.57281,0,0.012,0,3126,2.52731,1236.88807
48303001702,303,0.02257,0.73175,0.61365,0.70432,0.59134,0.0203,0.3351,0,0.02703,1,0.94085,0,0.09749,0,0.23208,0,0.20159,0,0.01444,1,0.05017,0,0.27269,0,0.65259,0,0.02021,0,6056,4.26559,1419.73481
48303001705,303,0.02117,0.81481,0.69733,0.72535,0.67192,0.01589,0.28128,0,0.02514,1,0.92539,0,0.12094,0,0.14002,0,0.15221,0,0.03853,1,0.06066,1,0.12928,0,0.75545,0,0.02225,0,6146,3.17951,1932.99973
48303001706,303,0.0326,0.72989,0.60435,0.6631,0.5978,0.04031,0.14482,0,0.0292,0,0.99214,0,0.16053,0,0.1483,0,0.25525,0,0.01618,1,0.06471,0,0.34827,0,0.54534,0,0.02353,0,5251,9.35643,561.21862
48303001707,303,0.01489,0.83074,0.72611,0.77284,0.75373,0.0265,0.38013,0,0.01826,1,0.97887,0,0.06718,0,0.10781,0,0.11846,0,0.01017,1,0.03486,1,0.2224,0,0.69642,0,0.01989,0,3906,6.47607,603.14403
48303001708,303,0.01015,0.71315,0.64134,0.76923,0.65842,0.01538,0.32967,0,0.05699,0,0.86144,0,0.08685,0,0.18961,0,0.2661,0,0.0466,1,0.06973,0,0.43081,0,0.43081,0,0.00966,0,2406,1.49716,1607.03938
48303001709,303,0.01133,0.71315,0.64134,0.76923,0.65842,0.01074,0.51211,0,0.05051,0,0.8709,0,0.1426,0,0.25777,0,0.15465,0,0.00745,1,0.12614,0,0.3746,0,0.46522,0,0.0147,0,4209,1.6715,2518.09145
48303001801,303,0.01669,0.73291,0.67533,0.84884,0.57593,0.00925,0.38265,0,0.05001,0,0.93849,0,0.11754,0,0.22045,0,0.18974,0,0.01817,1,0.03988,0,0.47162,0,0.44637,0,0.02118,0,5446,2.5916,2101.40643
48303001803,303,0.01815,0.75494,0.66589,0.76605,0.62028,0.0156,0.34416,0,0.03691,0,0.94157,0,0.07715,0,0.09185,1,0.07873,0,0.00427,1,0.05391,1,0.34419,0,0.54392,0,0.0176,0,5378,2.73692,1964.98248
