idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
257,-94.43311,31.38428,0.47605,0.0,0.38235,0.25462,0.70378,0.5542,0.01429,0.35546,0.14034,0.30882,1.0,0.72395,0.5659,0.56948
281,-94.43268,31.39147,0.47605,0.0,0.38235,0.25462,0.70378,0.5542,0.01429,0.35546,0.14034,0.30882,1.0,0.72395,0.5659,0.56948
780,-94.71412,31.48976,0.66765,0.97395,0.58739,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.35336,0.9521,0.56413,0.58947
845,-94.71372,31.49695,0.66765,0.9479,0.50672,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.35252,0.66723,0.53763,0.5646
998,-94.52746,31.50364,0.47605,0.0,0.57521,0.25462,0.70378,0.5542,0.01429,0.35546,0.14034,0.30882,0.66345,0.59538,0.47742,0.48251
1019,-94.35047,31.49605,0.47605,0.0,0.0,0.25462,0.70378,0.5542,0.01429,0.35546,0.14034,0.30882,0.96723,0.25714,0.45471,0.46592
1067,-94.52704,31.51083,0.47605,0.0,0.57521,0.25462,0.70378,0.5542,0.01429,0.35546,0.14034,0.30882,0.66345,0.59538,0.47742,0.48251
1088,-94.35004,31.50324,0.47605,0.92647,0.66218,0.25462,0.70378,0.5542,0.01429,0.35546,0.14034,0.30882,0.96723,0.52017,0.62012,0.64334
1251,-94.77876,31.54283,0.66765,0.87269,0.47521,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.07479,0.92857,0.48667,0.51161
1252,-94.77033,31.5425,0.66765,0.0,0.58025,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.07563,0.63277,0.41994,0.43388
1268,-94.6354,31.53698,0.66765,0.0,0.54286,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.35588,0.75966,0.47415,0.4866
1340,-94.635,31.54418,0.66765,0.0,0.56345,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.35294,0.73529,0.47503,0.4876
1365,-94.4242,31.53528,0.47605,0.0,0.46008,0.25462,0.70378,0.5542,0.01429,0.35546,0.14034,0.30882,0.96723,0.63571,0.53114,0.53965
1437,-94.42377,31.54247,0.47605,0.0,0.42521,0.25462,0.70378,0.5542,0.01429,0.35546,0.14034,0.30882,0.96723,0.97353,0.54368,0.54977
1485,-94.63418,31.55856,0.2458,0.96597,0.66471,0.52353,0.8563,0.66891,0.92353,0.92353,0.74496,0.62017,0.61555,0.76807,0.72805,0.73598
1625,-94.70928,31.57606,0.66765,0.0,0.48319,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.3105,0.83025,0.46119,0.47246
1626,-94.70084,31.57571,0.66765,0.97605,0.66597,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.35252,0.58151,0.55536,0.58336
1684,-94.84387,31.58869,0.66765,0.9563,0.59118,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.78824,0.87563,0.58018,0.59743
1697,-94.73419,31.58428,0.66765,0.87269,0.4937,0.42311,0.2063,0.34244,0.65882,0.71176,0.43193,0.14034,0.07479,0.97227,0.49117,0.51579
1724,-94.50642,31.57484,0.47605,0.82563,0.52605,0.25462,0.70378,0.5542,0.01429,0.35546,0.14034,0.30882,0.66345,0.86555,0.5467,0.56225
1759,-94.84348,31.59588,0.32269,0.82563,0.62647,0.74412,0.05294,0.7458,0.12899,0.2021,0.27857,0.42353,0.77647,0.88277,0.54693,0.56624
1787,-94.60723,31.58627,0.61429,0.0,0.81933,0.88445,0.65042,0.2021,0.49454,0.47017,0.89874,0.92311,0.25882,0.72983,0.5335,0.50933
