idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
253,-97.80071,27.58842,0.24614,0.0,0.71582,0.61123,0.74287,0.64058,0.63587,0.75882,0.72621,0.78116,0.62778,0.07403,0.57298,0.57011
691,-97.23283,27.60596,0.95217,0.0,0.61655,0.18176,0.0,0.08865,0.02077,0.00688,0.09903,0.00531,0.12838,0.57814,0.16338,0.1648
982,-97.29706,27.62903,0.69698,0.93877,0.69867,0.40145,0.37778,0.82053,0.08213,0.12017,0.14698,0.25217,0.17428,0.98539,0.43025,0.43944
1274,-97.38563,27.65259,0.52452,0.0,0.86498,0.12464,0.0,0.02911,0.38261,0.41425,0.06848,0.1744,0.2308,0.49396,0.24714,0.25184
1331,-97.75029,27.66694,0.07198,0.0,0.48406,0.45435,0.0,0.83321,0.68188,0.65725,0.4558,0.26486,0.94287,0.39988,0.53632,0.56477
1550,-97.63643,27.67927,0.07198,0.0,0.46763,0.45435,0.0,0.83321,0.68188,0.65725,0.4558,0.26486,0.56981,0.53273,0.4816,0.50919
1579,-97.40127,27.67458,0.63345,0.94118,0.68466,0.22138,0.5744,0.04324,0.27186,0.65036,0.19179,0.37126,0.45833,0.99771,0.4512,0.45216
1586,-97.34452,27.67338,0.82717,0.0,0.61643,0.11437,0.76486,0.06643,0.28345,0.38659,0.2,0.61703,0.48901,0.95266,0.38208,0.35828
1594,-97.27965,27.67197,0.68394,0.0,0.66691,0.85749,0.95266,0.49336,0.14674,0.43998,0.66437,0.23913,0.5407,0.28442,0.43299,0.40421
1998,-97.3924,27.70327,0.8785,0.0,0.97729,0.32307,0.66039,0.28841,0.62512,0.4035,0.59143,0.89601,0.28273,0.9221,0.49443,0.46908
2215,-97.35957,27.71702,0.66123,0.0,0.74324,0.19505,0.48116,0.39106,0.17899,0.35423,0.54324,0.43068,0.40169,0.87065,0.38422,0.36709
2315,-97.41617,27.72542,0.94118,0.88176,0.60374,0.56643,0.84287,0.2163,0.84746,0.58684,0.58043,0.30833,0.67258,0.55314,0.5489,0.52957
2528,-97.44013,27.74036,0.06401,0.9965,0.0,0.46232,0.0,0.19251,0.87138,0.93865,0.17488,0.5587,0.68333,0.99565,0.50233,0.51482
2644,-97.38314,27.74639,0.43998,0.77814,0.74227,0.79928,0.80495,0.5064,0.4657,0.50447,0.68345,0.71401,0.59215,0.8965,0.61186,0.59632
2909,-97.91016,27.77801,0.16449,0.0,0.49287,0.05978,0.0,0.74614,0.74529,0.78732,0.74819,0.74155,0.81667,0.32198,0.53866,0.56396
2971,-97.40691,27.76855,0.27609,0.80169,0.61763,0.88466,0.68587,0.97198,0.94263,0.97053,0.93937,0.41932,0.90048,0.73865,0.83324,0.84447
3162,-97.6663,27.78812,0.72536,0.0,0.47802,0.91196,0.87609,0.87669,0.97283,0.73152,0.96111,0.62959,0.2564,0.70024,0.59945,0.58159
3373,-97.79587,27.80491,0.16449,0.95664,0.51944,0.05978,0.0,0.74614,0.74529,0.78732,0.74819,0.74155,0.87754,0.22355,0.61882,0.66136
3413,-97.4711,27.79874,0.46473,0.95845,0.55048,0.83345,0.93502,0.67403,0.66244,0.94662,0.70809,0.0849,0.75242,0.87138,0.73401,0.73964
3417,-97.43863,27.79808,0.76957,0.88176,0.67536,0.53345,0.82017,0.52669,0.82476,0.61135,0.43309,0.56667,0.95592,0.97174,0.75272,0.75581
3537,-97.40596,27.80462,0.29831,0.0,0.46848,0.99746,0.0,0.78575,0.19227,0.31473,0.83599,0.90676,0.99312,0.91932,0.62104,0.63294
3640,-97.51945,27.81415,0.05314,0.88176,0.50797,0.55543,0.58128,0.38019,0.72536,0.63949,0.52355,0.59976,0.58056,0.78116,0.63048,0.63663
4094,-97.57558,27.84413,0.75266,0.0,0.76594,0.34082,0.81099,0.44601,0.48998,0.56196,0.34215,0.51498,0.43225,0.93309,0.56751,0.55845
4302,-97.63209,27.85965,0.85809,0.97512,0.52536,0.41087,0.9657,0.1413,0.09481,0.2692,0.07536,0.10785,0.01329,0.72766,0.41113,0.39872
4703,-97.78563,27.89857,0.88925,0.92343,0.45507,0.28611,0.0,0.31304,0.31522,0.20217,0.21727,0.31932,0.82428,0.97983,0.5003,0.52911
