idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
253,-97.80071,27.58842,0.24614,0.0,0.71582,0.61123,0.74287,0.64058,0.63587,0.75882,0.72621,0.78116,0.62778,0.07403,0.57298,0.57011
691,-97.23283,27.60596,0.95217,0.0,0.61655,0.18176,0.0,0.08865,0.02077,0.00688,0.09903,0.00531,0.12838,0.57814,0.16338,0.1648
982,-97.29706,27.62903,0.69698,0.93877,0.69867,0.40145,0.37778,0.82053,0.08213,0.12017,0.14698,0.25217,0.17428,0.98539,0.43025,0.43944
1274,-97.38563,27.65259,0.52452,0.0,0.86498,0.12464,0.0,0.02911,0.38261,0.41425,0.06848,0.1744,0.2308,0.49396,0.24714,0.25184
1331,-97.75029,27.66694,0.07198,0.0,0.48406,0.45435,0.0,0.83321,0.68188,0.65725,0.4558,0.26486,0.94287,0.39988,0.53632,0.56477
1550,-97.63643,27.67927,0.07198,0.0,0.46763,0.45435,0.0,0.83321,0.68188,0.65725,0.4558,0.26486,0.56981,0.53273,0.4816,0.50919
1579,-97.40127,27.67458,0.63345,0.94118,0.68466,0.22138,0.5744,0.04324,0.27186,0.65036,0.19179,0.37126,0.45833,0.99771,0.4512,0.45216
1586,-97.34452,27.67338,0.82717,0.0,0.61643,0.11437,0.76486,0.06643,0.28345,0.38659,0.2,0.61703,0.48901,0.95266,0.38208,0.35828
1594,-97.27965,27.67197,0.68394,0.0,0.66691,0.85749,0.95266,0.49336,0.14674,0.43998,0.66437,0.23913,0.5407,0.28442,0.43299,0.40421
1900,-97.33582,27.69485,0.87295,0.96606,0.74517,0.68768,0.90338,0.15507,0.1349,0.11461,0.93382,0.993,0.60242,0.96908,0.63013,0.60014
1998,-97.3924,27.70327,0.8785,0.0,0.97729,0.32307,0.66039,0.28841,0.62512,0.4035,0.59143,0.89601,0.28273,0.9221,0.49443,0.46908
2001,-97.36807,27.70276,0.45145,0.98841,0.66365,0.48394,0.94964,0.47114,0.5936,0.39915,0.9308,0.71099,0.6006,0.97645,0.63045,0.6096
2103,-97.40032,27.71065,0.54771,0.91449,0.79638,0.71763,0.73659,0.48708,0.50845,0.52077,0.61159,0.6756,0.64976,0.87874,0.62588,0.61802
2210,-97.40013,27.71787,0.54771,0.77814,0.72512,0.71763,0.73659,0.48708,0.50845,0.52077,0.61159,0.6756,0.65048,0.97367,0.62766,0.61708
2215,-97.35957,27.71702,0.66123,0.0,0.74324,0.19505,0.48116,0.39106,0.17899,0.35423,0.54324,0.43068,0.40169,0.87065,0.38422,0.36709
2315,-97.41617,27.72542,0.94118,0.88176,0.60374,0.56643,0.84287,0.2163,0.84746,0.58684,0.58043,0.30833,0.67258,0.55314,0.5489,0.52957
2316,-97.40805,27.72525,0.50833,0.9628,0.58394,0.58925,0.61184,0.18213,0.55616,0.45302,0.30713,0.84517,0.64155,0.9686,0.634,0.6386
2317,-97.39994,27.72509,0.56498,0.0,0.90205,0.51075,0.67754,0.62041,0.80604,0.60302,0.3599,0.72005,0.72077,0.8279,0.6437,0.63852
2423,-97.41598,27.73264,0.39553,0.99457,0.49903,0.30749,0.71751,0.40785,0.87935,0.71751,0.53442,0.66159,0.78128,0.99348,0.69503,0.69983
2424,-97.40786,27.73247,0.56498,0.82017,0.63285,0.51075,0.67754,0.62041,0.80604,0.60302,0.3599,0.72005,0.70531,0.93865,0.6899,0.69588
2425,-97.39975,27.7323,0.56498,0.0,0.79022,0.51075,0.67754,0.62041,0.80604,0.60302,0.3599,0.72005,0.70254,0.85857,0.63774,0.63192
2528,-97.44013,27.74036,0.06401,0.9965,0.0,0.46232,0.0,0.19251,0.87138,0.93865,0.17488,0.5587,0.68333,0.99565,0.50233,0.51482
2529,-97.43201,27.74019,0.81498,0.97162,0.0,0.64094,0.54915,0.91498,0.92017,0.86486,0.68949,0.86775,0.7401,0.96208,0.76778,0.78549
2530,-97.4239,27.74002,0.39553,0.90628,0.80616,0.30749,0.71751,0.40785,0.87935,0.71751,0.53442,0.66159,0.78019,0.75471,0.73355,0.73878
2531,-97.41579,27.73985,0.48213,0.0,0.85737,0.72403,0.67114,0.66763,0.67548,0.87705,0.70169,0.61063,0.88973,0.94601,0.71797,0.71555
2532,-97.40767,27.73969,0.48213,0.0,0.89167,0.72403,0.67114,0.66763,0.67548,0.87705,0.70169,0.61063,0.88889,0.94287,0.72576,0.72335
2533,-97.39956,27.73952,0.70966,0.88176,0.64915,0.35048,0.51751,0.07899,0.57935,0.57114,0.89348,0.39384,0.68744,0.95229,0.63105,0.63719
2637,-97.43994,27.74757,0.67452,0.0,0.96944,0.71135,0.41316,0.5494,0.7849,0.82693,0.60217,0.0663,0.65435,0.63816,0.63445,0.64669
2638,-97.43183,27.74741,0.81498,0.0,0.97548,0.64094,0.54915,0.91498,0.92017,0.86486,0.68949,0.86775,0.73502,0.71763,0.75872,0.76351
2639,-97.42371,27.74724,0.81498,0.0,0.0,0.64094,0.54915,0.91498,0.92017,0.86486,0.68949,0.86775,0.7,0.64384,0.65619,0.65909
2640,-97.4156,27.74707,0.48213,0.0,0.925,0.72403,0.67114,0.66763,0.67548,0.87705,0.70169,0.61063,0.71727,0.74106,0.6866,0.68629
2644,-97.38314,27.74639,0.43998,0.77814,0.74227,0.79928,0.80495,0.5064,0.4657,0.50447,0.68345,0.71401,0.59215,0.8965,0.61186,0.59632
2746,-97.43975,27.75479,0.67452,0.86329,0.65785,0.71135,0.41316,0.5494,0.7849,0.82693,0.60217,0.0663,0.7151,0.98225,0.65732,0.67406
2747,-97.43164,27.75462,0.81498,0.0,0.93599,0.64094,0.54915,0.91498,0.92017,0.86486,0.68949,0.86775,0.69746,0.77379,0.69877,0.70075
2748,-97.42352,27.75445,0.81498,0.0,0.88225,0.64094,0.54915,0.91498,0.92017,0.86486,0.68949,0.86775,0.70097,0.72862,0.69864,0.70093
2749,-97.41541,27.75428,0.33309,0.0,0.68333,0.6942,0.61763,0.72874,0.73877,0.7808,0.39807,0.16449,0.79034,0.74275,0.65687,0.6592
2751,-97.39918,27.75395,0.58841,0.0,0.0,0.70193,0.78176,0.16063,0.86365,0.72379,0.7878,0.66787,0.74396,0.57101,0.62285,0.60847
2858,-97.42333,27.76167,0.24614,0.0,0.97041,0.68213,0.45048,0.71558,0.95399,0.98188,0.79553,0.13152,0.72947,0.69372,0.69068,0.69926
2859,-97.41522,27.7615,0.51413,0.0,0.0,0.93913,0.63575,0.96159,0.81437,0.92826,0.95072,0.58937,0.75737,0.84831,0.64623,0.63777
2860,-97.4071,27.76133,0.58841,0.99915,0.0,0.70193,0.78176,0.16063,0.86365,0.72379,0.7878,0.66787,0.73164,0.98986,0.6873,0.68236
2909,-97.91016,27.77801,0.16449,0.0,0.49287,0.05978,0.0,0.74614,0.74529,0.78732,0.74819,0.74155,0.81667,0.32198,0.53866,0.56396
2968,-97.43126,27.76905,0.45447,0.0,0.84118,0.82041,0.62415,0.42271,0.93237,0.98986,0.81534,0.493,0.85628,0.80833,0.67855,0.6692
2969,-97.42315,27.76888,0.24614,0.0,0.96135,0.68213,0.45048,0.71558,0.95399,0.98188,0.79553,0.13152,0.72947,0.77935,0.67399,0.68195
2970,-97.41503,27.76872,0.51413,0.0,0.89082,0.93913,0.63575,0.96159,0.81437,0.92826,0.95072,0.58937,0.54795,0.77355,0.67087,0.66846
2971,-97.40691,27.76855,0.27609,0.80169,0.61763,0.88466,0.68587,0.97198,0.94263,0.97053,0.93937,0.41932,0.90048,0.73865,0.83324,0.84447
3059,-97.59341,27.77951,0.33961,0.82017,0.44493,0.10181,0.0,0.25181,0.23527,0.07802,0.03188,0.80314,0.96244,0.84783,0.48255,0.50414
3079,-97.43107,27.77627,0.45447,0.0,0.87645,0.82041,0.62415,0.42271,0.93237,0.98986,0.81534,0.493,0.85676,0.818,0.68888,0.6795
3080,-97.42296,27.7761,0.28744,0.0,0.95193,0.81014,0.64614,0.73527,0.96196,0.95966,0.90314,0.88514,0.80121,0.58684,0.77199,0.7675
3081,-97.41484,27.77593,0.27609,0.0,0.97415,0.88466,0.68587,0.97198,0.94263,0.97053,0.93937,0.41932,0.86087,0.56606,0.78207,0.78516
3082,-97.40672,27.77576,0.27609,0.0,0.97693,0.88466,0.68587,0.97198,0.94263,0.97053,0.93937,0.41932,0.91365,0.83575,0.72613,0.71466
3160,-97.68253,27.78842,0.72536,0.77814,0.5622,0.91196,0.87609,0.87669,0.97283,0.73152,0.96111,0.62959,0.47536,0.96558,0.72352,0.72173
3162,-97.6663,27.78812,0.72536,0.0,0.47802,0.91196,0.87609,0.87669,0.97283,0.73152,0.96111,0.62959,0.2564,0.70024,0.59945,0.58159
3191,-97.43088,27.78348,0.28744,0.0,0.85012,0.81014,0.64614,0.73527,0.96196,0.95966,0.90314,0.88514,0.92826,0.73599,0.75851,0.75419
3192,-97.42277,27.78331,0.28744,0.0,0.82331,0.81014,0.64614,0.73527,0.96196,0.95966,0.90314,0.88514,0.80121,0.77476,0.73749,0.73165
3193,-97.41465,27.78315,0.21618,0.0,0.96981,0.95097,0.85386,0.62874,0.90833,0.54469,0.8035,0.52415,0.96534,0.63575,0.76175,0.74707
3194,-97.40653,27.78298,0.59614,0.0,0.88502,0.92874,0.90894,0.98333,0.52512,0.70072,0.91401,0.85097,0.88732,0.67355,0.75743,0.74739
3195,-97.39842,27.78281,0.59614,0.83333,0.0,0.92874,0.90894,0.98333,0.52512,0.70072,0.91401,0.85097,0.33937,0.16196,0.63455,0.63119
3273,-97.68236,27.79564,0.72536,0.0,0.86075,0.91196,0.87609,0.87669,0.97283,0.73152,0.96111,0.62959,0.50435,0.35664,0.66317,0.65267
3274,-97.67425,27.79548,0.76957,0.83333,0.97162,0.74674,0.45845,0.92717,0.88563,0.88345,0.87077,0.53599,0.17729,0.68297,0.6437,0.65899
3275,-97.66613,27.79533,0.76957,0.0,0.87065,0.74674,0.45845,0.92717,0.88563,0.88345,0.87077,0.53599,0.13611,0.41957,0.55664,0.56309
3303,-97.43881,27.79086,0.76957,0.0,0.89457,0.53345,0.82017,0.52669,0.82476,0.61135,0.43309,0.56667,0.79674,0.82271,0.66096,0.65161
3304,-97.4307,27.7907,0.76957,0.0,0.60556,0.53345,0.82017,0.52669,0.82476,0.61135,0.43309,0.56667,0.82609,0.87126,0.64413,0.63333
3305,-97.42258,27.79053,0.02126,0.0,0.0,0.96268,0.40145,0.94988,0.79432,0.90616,0.98841,0.50326,0.83261,0.45471,0.6337,0.64368
3306,-97.41446,27.79036,0.02126,0.91449,0.5413,0.96268,0.40145,0.94988,0.79432,0.90616,0.98841,0.50326,0.96993,0.9436,0.81035,0.83161
