osm_id,code,fclass,name,point_x,point_y,lon,lat
356859236,2082,school,Olsen Elementary School,-97.0611578000,27.8310841000,-97.06116,27.83108
356859653,2082,school,Brundrett Middle School,-97.0611578000,27.8310841000,-97.06116,27.83108
356859932,2082,school,Port Aransas High School,-97.0611578000,27.8310841000,-97.06116,27.83108
1896420400,2402,motel,Tropic Island Motel,-97.0697637000,27.8335530000,-97.06976,27.83355
1896422452,2402,motel,Travelodge,-97.0714804000,27.8265035000,-97.07148,27.8265
1896426560,2501,supermarket,IGA Port Aransas Family Center,-97.0658101000,27.8302513000,-97.06581,27.83025
1896444481,2402,motel,Days Inn,-97.0833303000,27.8040094000,-97.08333,27.80401
356727301,2082,school,West Side School,-97.8074971000,27.5875329000,-97.8075,27.58753
356806756,2082,school,Lillion E Luehrs Junior High School,-97.7929898000,27.5808981000,-97.79299,27.5809
356806929,2082,school,Bishop High School,-97.7921352000,27.5807424000,-97.79214,27.58074
356806935,2082,school,Bishop Primary School,-97.8075768000,27.5877269000,-97.80758,27.58773
356859285,2082,school,Banquete High School,-97.7953383000,27.8066038000,-97.79534,27.8066
356859372,2082,school,Agua Dulce High School,-97.9134844000,27.7855045000,-97.91348,27.7855
356859376,2082,school,Banquete Elementary School,-97.7962545000,27.8054172000,-97.79625,27.80542
356859391,2082,school,Bishop Elementary School,-97.7940564000,27.5815628000,-97.79406,27.58156
356859398,2082,school,Banquete Junior High School,-97.7961194000,27.8050343000,-97.79612,27.80503
356859453,2082,school,Driscoll Elementary School,-97.7536415000,27.6713408000,-97.75364,27.67134
356859619,2082,school,Saint Paul Lutheran School,-97.7900321000,27.5826895000,-97.79003,27.58269
356860031,2082,school,Nueces County Juvenile Justice Alternative Education Program,-97.7907869000,27.5805176000,-97.79079,27.58052
356860210,2082,school,Agua Dulce Elementary School,-97.9134844000,27.7855045000,-97.91348,27.7855
356860364,2082,school,Coastal Bend Youth City School,-97.7422014000,27.6914016000,-97.7422,27.6914
5140250987,2082,school,Bishop High School,-97.7885226000,27.5807423000,-97.78852,27.58074
356701125,2082,school,Bullard School,-97.6735531000,27.7913739000,-97.67355,27.79137
356708619,2082,school,Hutto School,-97.6816623000,27.7944696000,-97.68166,27.79447
356710491,2082,school,Lotspelch School,-97.6791622000,27.7828035000,-97.67916,27.7828
356720547,2082,school,Saint Anthony Catholic School,-97.6748154000,27.7890108000,-97.67482,27.78901
356726190,2082,school,Tuloso - Midway High School,-97.5755119000,27.8291382000,-97.57551,27.82914
356726195,2082,school,Tuloso-Midway School,-97.5241604000,27.8197472000,-97.52416,27.81975
