lat,lon
27.79704,-97.4385
27.79931,-97.40859
27.79962,-97.40915
27.63673,-97.30222
27.61782,-97.2977
27.63731,-97.30187
27.71533,-97.32328
27.72421,-97.36121
27.75446,-97.38842
27.77297,-97.40091
27.75454,-97.3885
27.72464,-97.36211
27.70993,-97.38253
27.72395,-97.36185
27.74637,-97.37716
27.77601,-97.39657
27.77521,-97.39644
27.74645,-97.37722
27.72517,-97.36183
27.79757,-97.42712
27.79732,-97.44594
27.7483,-97.41946
27.73358,-97.40987
27.77428,-97.43922
27.75732,-97.45802
27.7175,-97.40122
27.74664,-97.39265
27.74692,-97.39288
27.71837,-97.40064
27.75122,-97.41696
27.75879,-97.4316
27.77366,-97.42033
27.77902,-97.41571
27.77904,-97.41599
27.77374,-97.42034
27.7496,-97.44942
27.77878,-97.4017
27.77881,-97.40173
27.69154,-97.36346
27.68491,-97.37967
27.85628,-97.63399
27.84582,-97.5863
27.8258,-97.54794
27.79727,-97.45198
27.79731,-97.45285
27.82603,-97.54789
27.84557,-97.58548
27.78858,-97.66509
27.69384,-97.34128
27.72406,-97.39479
27.73846,-97.38723
27.72537,-97.45246
27.69289,-97.34184
27.73145,-97.41006
27.68825,-97.41663
27.68014,-97.40667
27.71264,-97.3856
27.71209,-97.37036
27.71231,-97.38584
27.68014,-97.40662
27.69045,-97.41891
27.73283,-97.41282
27.79424,-97.68391
27.69646,-97.33879
27.85714,-97.60569
27.79728,-97.39273
27.77478,-97.40332
27.79518,-97.39429
27.69678,-97.37684
27.80819,-97.68019
27.78272,-97.42047
27.76534,-97.42024
27.80985,-97.39591
27.81548,-97.39217
27.79425,-97.40218
27.7942,-97.39993
27.79179,-97.39502
27.7929,-97.39378
27.7948,-97.39312
27.79766,-97.39268
27.79987,-97.39269
27.80172,-97.39308
27.80426,-97.39477
27.81095,-97.39668
27.80818,-97.39562
27.80613,-97.39518
27.80352,-97.39464
27.79417,-97.39781
27.79423,-97.40059
27.79631,-97.39829
27.8194,-97.39071
27.81668,-97.3919
27.79634,-97.39972
27.79707,-97.39741
27.83141,-97.38513
27.829,-97.38482
27.82131,-97.38952
27.81684,-97.39045
27.81892,-97.39026
27.82119,-97.38933
27.82378,-97.38768
27.82604,-97.38625
27.82786,-97.38514
27.82967,-97.38389
27.83139,-97.38503
27.79834,-97.39855
27.79634,-97.39886
27.82726,-97.38595
27.7441,-97.42204
27.74195,-97.42336
