idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
314,-97.63743,30.13459,0.63828,0.95955,0.3518,0.06017,0.94605,0.95547,0.97525,0.80824,0.82375,0.77841,0.96087,0.97205,0.69801,0.69378
381,-97.74521,30.15094,0.84856,0.71472,0.49733,0.38333,0.97155,0.7779,0.90999,0.68224,0.22028,0.75944,0.69713,0.56554,0.64734,0.64425
514,-97.75302,30.17269,0.56981,0.0,0.90516,0.85265,0.85937,0.35117,0.98116,0.91734,0.79034,0.91244,0.77175,0.43904,0.71162,0.69593
555,-97.81942,30.18105,0.55901,0.96677,0.68607,0.54337,0.70718,0.85541,0.72602,0.57082,0.70869,0.56058,0.31656,0.99146,0.64648,0.65309
562,-97.76117,30.18004,0.56981,0.0,0.80271,0.85265,0.85937,0.35117,0.98116,0.91734,0.79034,0.91244,0.83707,0.97795,0.75964,0.73833
563,-97.75285,30.17989,0.56981,0.0,0.93995,0.85265,0.85937,0.35117,0.98116,0.91734,0.79034,0.91244,0.77175,0.8034,0.76573,0.74743
612,-97.76933,30.18739,0.56981,0.9745,0.0,0.85265,0.85937,0.35117,0.98116,0.91734,0.79034,0.91244,0.7529,0.8703,0.6619,0.63989
615,-97.74436,30.18695,0.12951,0.0,0.81659,0.98618,0.95453,0.94372,0.97368,0.88079,0.96677,0.49174,0.76603,0.8529,0.79425,0.78156
616,-97.73604,30.1868,0.68036,0.8328,0.47152,0.82363,0.52767,0.59657,0.92752,0.83921,0.90045,0.76446,0.62201,0.95434,0.6617,0.65933
662,-97.79412,30.19502,0.20363,0.65417,0.836,0.73456,0.76496,0.89567,0.76277,0.78067,0.64261,0.57195,0.64581,0.78387,0.67027,0.66304
665,-97.76916,30.19459,0.85359,0.98097,0.3442,0.53062,0.82143,0.16205,0.74939,0.64676,0.81948,0.91646,0.67012,0.99033,0.66011,0.64727
666,-97.76084,30.19444,0.32919,0.0,0.91998,0.67376,0.96225,0.75259,0.99655,0.93348,0.81597,0.79185,0.77231,0.89021,0.78453,0.7702
667,-97.75251,30.1943,0.28522,0.75422,0.92287,0.71371,0.81151,0.87086,0.98819,0.9615,0.91364,0.93706,0.98021,0.82476,0.88904,0.89252
720,-97.77731,30.20193,0.85359,0.65417,0.84976,0.53062,0.82143,0.16205,0.74939,0.64676,0.81948,0.91646,0.67219,0.91728,0.67344,0.65628
722,-97.76067,30.20164,0.28522,0.94768,0.6222,0.71371,0.81151,0.87086,0.98819,0.9615,0.91364,0.93706,0.9804,0.96005,0.86591,0.87132
723,-97.75234,30.2015,0.28522,0.0,0.94077,0.71371,0.81151,0.87086,0.98819,0.9615,0.91364,0.93706,0.98317,0.77137,0.8322,0.82476
724,-97.74402,30.20135,0.28522,0.99466,0.51498,0.71371,0.81151,0.87086,0.98819,0.9615,0.91364,0.93706,0.98317,0.99246,0.86607,0.87194
729,-97.70241,30.20061,0.68036,0.99937,0.4001,0.82363,0.52767,0.59657,0.92752,0.83921,0.90045,0.76446,0.71151,0.9593,0.67026,0.66968
