name,address,lat,lon,Unnamed: 7,Unnamed: 8,Unnamed: 9
,12199 FM 858 MARTINS MILL TX 75754,32.41597,-95.78852,,,
,11064 STATE HWY 198 CANTON TX 75103,32.42866,-95.97252,,,
,5480 FM 858 BEN WHEELER TX 75754,32.44573,-95.70336,,,
,103 VZ COUNTY RD 2313 CANTON TX,32.50926,-95.72146,,,
,150 VZ COUNTY RD 4800 BEN WHEELER TX,32.50926,-95.72146,,,
,310 CHESTNUT VAN TX,32.52747,-95.62069,,,
,801 E. HWY 243 CANTON TX,32.54564,-95.85087,,,
,17897 FM 1255 CANTON TX,32.552,-95.84471,,,
,290 E. TYLER ST. CANTON TX 75103,32.55594,-95.86224,,,
,200 W. GROVE STREET CANTON TX 75103,32.55802,-95.86436,,,
,4070 VZ COUNTY RD 2120 CANTON TX 75103,32.56586,-95.95448,,,
,9908 ST. HWY 110 VAN TX,32.56776,-95.64272,,,
,103 N. SALINE GRAND SALINE TX 75140,32.67257,-95.70752,,,
,1069 VZCR 1129 FRUITVALE TX 75127,32.68319,-95.8033,,,
,15915 US HWY 80 EDGEWOOD TX,32.69166,-95.86655,,,
,202 BATEMAN STREET EDGEWOOD TX 75117,32.70293,-95.88754,,,
,307 N. FOURTH STREET WILLS POINT TX 75169,32.71046,-96.00832,,,
